f_n,w,d,N,pi_s,div
6,3,9,10000,1.0,0.03441722977311084
6,4,9,10000,1.0,0.03441761293676633
6,5,9,10000,1.0,0.0344175925336491
6,6,9,10000,1.0,0.034417528043270015
6,7,9,10000,1.0,0.034417461344901194
6,8,9,10000,1.0,0.034417484327601104
6,9,9,10000,1.0,0.03441751849305738
6,10,9,10000,1.0,0.03441766458311737
6,11,9,10000,1.0,0.03821978806657048
6,12,9,10000,1.0,0.12405343552945568
6,13,9,10000,1.0,0.3312191664750611
6,14,9,10000,1.0,0.7188026983409933
6,15,9,10000,1.0,0.7188026983409933
7,0,9,10000,1.0,0.03505007765179867
7,1,9,10000,1.0,0.035036433235162784
7,2,9,10000,1.0,0.03504558938191158
7,3,9,10000,1.0,0.0350518881290874
7,4,9,10000,1.0,0.03505147053358089
7,5,9,10000,1.0,0.035051886058333113
7,6,9,10000,1.0,0.035051641690591405
7,7,9,10000,1.0,0.03505192136502437
7,8,9,10000,1.0,0.03505177588231554
7,9,9,10000,1.0,0.035051613014957926
7,10,9,10000,1.0,0.03505169772010421
7,11,9,10000,1.0,0.03980274217430099
7,12,9,10000,1.0,0.12357443218111352
7,13,9,10000,1.0,0.33052325478519085
7,14,9,10000,1.0,0.7188026983409933
7,15,9,10000,1.0,0.7188026983409933
8,0,9,10000,1.0,0.0345320109949486
8,1,9,10000,1.0,0.03492254629016323
8,2,9,10000,1.0,0.034569093702066414
8,3,9,10000,1.0,0.03452484872867097
8,4,9,10000,1.0,0.03452592172781162
8,5,9,10000,1.0,0.03452572706394581
8,6,9,10000,1.0,0.0345256604431311
8,7,9,10000,1.0,0.03452573177772232
8,8,9,10000,1.0,0.03452561043089625
8,9,9,10000,1.0,0.03452565916224481
8,10,9,10000,1.0,0.03452575426661863
8,11,9,10000,1.0,0.04279129246468281
8,12,9,10000,1.0,0.12857319227299546
8,13,9,10000,1.0,0.3362285868065967
8,14,9,10000,1.0,0.7188026983409933
8,15,9,10000,1.0,0.7188026983409933
9,0,9,10000,1.0,0.0345498772862514
9,1,9,10000,1.0,0.03480183467450443
9,2,9,10000,1.0,0.03455766319579542
9,3,9,10000,1.0,0.03454197986074521
9,4,9,10000,1.0,0.03454449138790053
9,5,9,10000,1.0,0.03455668431482208
9,6,9,10000,1.0,0.03454291650745084
9,7,9,10000,1.0,0.034556371830161
9,8,9,10000,1.0,0.03455633398272438
9,9,9,10000,1.0,0.03455632786826361
9,10,9,10000,1.0,0.03455586386224231
9,11,9,10000,1.0,0.03875498012278846
9,12,9,10000,1.0,0.12968570431707532
9,13,9,10000,1.0,0.33717661875177773
9,14,9,10000,1.0,0.7188026983409933
9,15,9,10000,1.0,0.7188026983409933
10,0,9,10000,1.0,0.03825859224267362
10,1,9,10000,1.0,0.037744035916398425
10,2,9,10000,1.0,0.03813727320759455
10,3,9,10000,1.0,0.038259205123563164
10,4,9,10000,1.0,0.038257402201147234
10,5,9,10000,1.0,0.03825633032569923
10,6,9,10000,1.0,0.038261072552841946
10,7,9,10000,1.0,0.038252271050117644
10,8,9,10000,1.0,0.038263137928506094
10,9,9,10000,1.0,0.03826037329005207
10,10,9,10000,1.0,0.03826627839146629
10,11,9,10000,1.0,0.04331609880614492
10,12,9,10000,1.0,0.13267113777522754
10,13,9,10000,1.0,0.3586910851902339
10,14,9,10000,1.0,0.7319857551973126
10,15,9,10000,1.0,0.7319857551973126
11,0,9,10000,1.2,0.037270820605857305
11,1,9,10000,1.2,0.03442170594260859
11,2,9,10000,1.2,0.03690214831906076
11,3,9,10000,1.2,0.03725434314666342
11,4,9,10000,1.2,0.03724651487731082
11,5,9,10000,1.2,0.03724934499637361
11,6,9,10000,1.2,0.03724901013865947
11,7,9,10000,1.2,0.03724452130085223
11,8,9,10000,1.2,0.03724940508509311
11,9,9,10000,1.2,0.03724233425820603
11,10,9,10000,1.2,0.037243705460725286
11,11,9,10000,1.2,0.038526845853819595
11,12,9,10000,1.2,0.1547169890096333
11,13,9,10000,1.2,0.3288252844711702
11,14,9,10000,1.2,0.6852172556087304
11,15,9,10000,1.2,0.6852172556087304
12,0,9,10000,1.2,0.03708177259555288
12,1,9,10000,1.2,0.03767758041930489
12,2,9,10000,1.2,0.037132918573627556
12,3,9,10000,1.2,0.03708148270979532
12,4,9,10000,1.2,0.037082345003524836
12,5,9,10000,1.2,0.03708146435480014
12,6,9,10000,1.2,0.03708193567564245
12,7,9,10000,1.2,0.03708215149601544
12,8,9,10000,1.2,0.037084486390395036
12,9,9,10000,1.2,0.03708312401456587
12,10,9,10000,1.2,0.03708451199653648
12,11,9,10000,1.2,0.04295550124458059
12,12,9,10000,1.2,0.15011806868771438
12,13,9,10000,1.2,0.3227725992406205
12,14,9,10000,1.2,0.6852172556087304
12,15,9,10000,1.2,0.6852172556087304
13,0,9,10000,1.2,0.034518990588909906
13,1,9,10000,1.2,0.03495171207847501
13,2,9,10000,1.2,0.034515944351223855
13,3,9,10000,1.2,0.03452912381615254
13,4,9,10000,1.2,0.03453620618921133
13,5,9,10000,1.2,0.03453362042022156
13,6,9,10000,1.2,0.03453578203986739
13,7,9,10000,1.2,0.03453417829077192
13,8,9,10000,1.2,0.03453471243724253
13,9,9,10000,1.2,0.03453525326223876
13,10,9,10000,1.2,0.03453473933409155
13,11,9,10000,1.2,0.042278010462800324
13,12,9,10000,1.2,0.15258872204788573
13,13,9,10000,1.2,0.3261115830246505
13,14,9,10000,1.2,0.6852172556087304
13,15,9,10000,1.2,0.6852172556087304
14,0,9,10000,1.2,0.04191405446808276
14,1,9,10000,1.2,0.03971112392702975
14,2,9,10000,1.2,0.041495172987866834
14,3,9,10000,1.2,0.041911199999251136
14,4,9,10000,1.2,0.04190997620801355
14,5,9,10000,1.2,0.04190725764267425
14,6,9,10000,1.2,0.041877278772164725
14,7,9,10000,1.2,0.04188518917254846
14,8,9,10000,1.2,0.041887954500498974
14,9,9,10000,1.2,0.041901915966926224
14,10,9,10000,1.2,0.041887609074111105
14,11,9,10000,1.2,0.04398667851197965
14,12,9,10000,1.2,0.14594314841178072
14,13,9,10000,1.2,0.36866618829863523
14,14,9,10000,1.2,0.7118527889464709
14,15,9,10000,1.2,0.7118527889464709
15,0,9,10000,1.2,0.038837227904645964
15,1,9,10000,1.2,0.0364520019107689
15,2,9,10000,1.2,0.038554629774489854
15,3,9,10000,1.2,0.038804070268281386
15,4,9,10000,1.2,0.03881197698458703
15,5,9,10000,1.2,0.03882206184193531
15,6,9,10000,1.2,0.03883034323162777
15,7,9,10000,1.2,0.03882512366513248
15,8,9,10000,1.2,0.03880902169768532
15,9,9,10000,1.2,0.038806888704622115
15,10,9,10000,1.2,0.03882561783731
15,11,9,10000,1.2,0.0399996150662809
15,12,9,10000,1.2,0.15349084223632672
15,13,9,10000,1.2,0.32734145869239656
15,14,9,10000,1.2,0.6852172556087304
15,15,9,10000,1.2,0.6852172556087304
16,0,9,10000,1.2,0.03231422838781908
16,1,9,10000,1.2,0.03252376908630594
16,2,9,10000,1.2,0.032290852020789455
16,3,9,10000,1.2,0.03232855593784864
16,4,9,10000,1.2,0.03231718438816116
16,5,9,10000,1.2,0.03232873872827723
16,6,9,10000,1.2,0.032322767929982094
16,7,9,10000,1.2,0.0323164299146673
16,8,9,10000,1.2,0.03232274311402538
16,9,9,10000,1.2,0.03231801122367171
16,10,9,10000,1.2,0.03231776639900883
16,11,9,10000,1.2,0.04032764232732597
16,12,9,10000,1.2,0.1525567809799672
16,13,9,10000,1.2,0.32615558686715557
16,14,9,10000,1.2,0.6852172556087304
16,15,9,10000,1.2,0.6852172556087304
17,0,9,10000,1.2,0.0658173418299806
17,1,9,10000,1.2,0.0652138930175746
17,2,9,10000,1.2,0.06569855585094557
17,3,9,10000,1.2,0.06584824662745993
17,4,9,10000,1.2,0.06582217561490102
17,5,9,10000,1.2,0.06582367104619247
17,6,9,10000,1.2,0.06583219576464917
17,7,9,10000,1.2,0.06581285629640438
17,8,9,10000,1.2,0.06580426555442749
17,9,9,10000,1.2,0.06581442288606056
17,10,9,10000,1.2,0.06583109412085579
17,11,9,10000,1.2,0.07028379881272966
17,12,9,10000,1.2,0.16712821694230023
17,13,9,10000,1.2,0.40749163226913976
17,14,9,10000,1.2,0.7249493045185144
17,15,9,10000,1.2,0.7249493045185144
18,0,9,10000,1.2,0.03530240497263716
18,1,9,10000,1.2,0.0337827175298928
18,2,9,10000,1.2,0.03508413273066117
18,3,9,10000,1.2,0.035288666943728765
18,4,9,10000,1.2,0.03529006775508661
18,5,9,10000,1.2,0.03529216317143537
18,6,9,10000,1.2,0.03529045083374615
18,7,9,10000,1.2,0.03529145597227865
18,8,9,10000,1.2,0.035290259183646165
18,9,9,10000,1.2,0.03529028340919051
18,10,9,10000,1.2,0.03528856802462685
18,11,9,10000,1.2,0.03907825234687361
18,12,9,10000,1.2,0.15278803670141214
18,13,9,10000,1.2,0.32653243786303543
18,14,9,10000,1.2,0.6852172556087303
18,15,9,10000,1.2,0.6852172556087303
19,0,9,10000,1.2,0.04015836245795189
19,1,9,10000,1.2,0.03740128244349323
19,2,9,10000,1.2,0.039828563790834465
19,3,9,10000,1.2,0.04016534749397592
19,4,9,10000,1.2,0.040156152311294074
19,5,9,10000,1.2,0.0401531953492041
19,6,9,10000,1.2,0.040156279759682535
19,7,9,10000,1.2,0.040158879173989324
19,8,9,10000,1.2,0.04015483583741484
19,9,9,10000,1.2,0.0401431117720497
19,10,9,10000,1.2,0.04015462408410967
19,11,9,10000,1.2,0.039742545439002935
19,12,9,10000,1.2,0.15211195212754017
19,13,9,10000,1.2,0.3254005201062876
19,14,9,10000,1.2,0.6852172556087304
19,15,9,10000,1.2,0.6852172556087304
20,0,9,10000,1.2,0.03508150871528333
20,1,9,10000,1.2,0.03422653685036902
20,2,9,10000,1.2,0.03493839873847929
20,3,9,10000,1.2,0.035085648864444034
20,4,9,10000,1.2,0.03507475159583159
20,5,9,10000,1.2,0.03507665325951547
20,6,9,10000,1.2,0.03507685398743298
20,7,9,10000,1.2,0.035076770872380314
20,8,9,10000,1.2,0.035076907666053946
20,9,9,10000,1.2,0.03507655439915179
20,10,9,10000,1.2,0.03507678579292773
20,11,9,10000,1.2,0.040667370573996886
20,12,9,10000,1.2,0.15174854797815202
20,13,9,10000,1.2,0.3250990989185597
20,14,9,10000,1.2,0.6852172556087304
20,15,9,10000,1.2,0.6852172556087304
21,0,9,10000,1.4,0.04331992944931418
21,1,9,10000,1.4,0.03977709896641816
21,2,9,10000,1.4,0.04292443541214706
21,3,9,10000,1.4,0.04331136588274863
21,4,9,10000,1.4,0.04331334471351153
21,5,9,10000,1.4,0.04330922623929054
21,6,9,10000,1.4,0.04331222955372127
21,7,9,10000,1.4,0.043312491372268246
21,8,9,10000,1.4,0.04331057276476906
21,9,9,10000,1.4,0.04331044415426142
21,10,9,10000,1.4,0.043312205253640504
21,11,9,10000,1.4,0.040970363197884524
21,12,9,10000,1.4,0.14667547485912322
21,13,9,10000,1.4,0.3284193470363377
21,14,9,10000,1.4,0.6528395321794365
21,15,9,10000,1.4,0.6528395321794365
22,0,9,10000,1.4,0.04425056183409568
22,1,9,10000,1.4,0.03781602898520798
22,2,9,10000,1.4,0.042821543258055955
22,3,9,10000,1.4,0.04415810270352605
22,4,9,10000,1.4,0.0440866209844733
22,5,9,10000,1.4,0.044157000572652615
22,6,9,10000,1.4,0.0441117456802592
22,7,9,10000,1.4,0.04409589999606084
22,8,9,10000,1.4,0.04409977688610259
22,9,9,10000,1.4,0.04419198244813783
22,10,9,10000,1.4,0.044165092351832115
22,11,9,10000,1.4,0.04958226597576286
22,12,9,10000,1.4,0.15804603826202757
22,13,9,10000,1.4,0.39390609336644994
22,14,9,10000,1.4,0.7048577610136227
22,15,9,10000,1.4,0.7048577610136227
23,0,9,10000,1.4,0.04752572512052044
23,1,9,10000,1.4,0.0467841870020068
23,2,9,10000,1.4,0.04742923987294258
23,3,9,10000,1.4,0.04752049204505302
23,4,9,10000,1.4,0.047532753055395366
23,5,9,10000,1.4,0.04753183296742165
23,6,9,10000,1.4,0.0475577632976863
23,7,9,10000,1.4,0.04753731887042818
23,8,9,10000,1.4,0.04753474236145541
23,9,9,10000,1.4,0.04752665461252714
23,10,9,10000,1.4,0.047534058765230765
23,11,9,10000,1.4,0.060341023323870625
23,12,9,10000,1.4,0.1633131253822923
23,13,9,10000,1.4,0.35047074481682994
23,14,9,10000,1.4,0.6642679650216736
23,15,9,10000,1.4,0.6642679650216736
24,0,9,10000,1.4,0.04528183107095245
24,1,9,10000,1.4,0.04196953507731642
24,2,9,10000,1.4,0.04492627184469981
24,3,9,10000,1.4,0.045270787146999066
24,4,9,10000,1.4,0.045275024552630876
24,5,9,10000,1.4,0.04527123877833003
24,6,9,10000,1.4,0.045276504702288285
24,7,9,10000,1.4,0.04527269393643864
24,8,9,10000,1.4,0.045272516446775164
24,9,9,10000,1.4,0.0452750198998812
24,10,9,10000,1.4,0.045277863281745566
24,11,9,10000,1.4,0.04119725130612457
24,12,9,10000,1.4,0.1566074325470195
24,13,9,10000,1.4,0.3249952776389083
24,14,9,10000,1.4,0.6528395321794365
24,15,9,10000,1.4,0.6528395321794365
25,0,9,10000,1.4,0.04059218457391104
25,1,9,10000,1.4,0.03927171534489284
25,2,9,10000,1.4,0.04036540538618627
25,3,9,10000,1.4,0.04058537268240804
25,4,9,10000,1.4,0.040590976601681164
25,5,9,10000,1.4,0.04057755059823612
25,6,9,10000,1.4,0.04058020251766369
25,7,9,10000,1.4,0.04058116805535041
25,8,9,10000,1.4,0.04058248892855648
25,9,9,10000,1.4,0.040581519534651514
25,10,9,10000,1.4,0.04057558655402086
25,11,9,10000,1.4,0.0470577714280278
25,12,9,10000,1.4,0.1625163036718238
25,13,9,10000,1.4,0.3495709253736601
25,14,9,10000,1.4,0.6712363308792251
25,15,9,10000,1.4,0.6712363308792251
26,0,9,10000,1.4,0.043617022959783876
26,1,9,10000,1.4,0.04120752674092395
26,2,9,10000,1.4,0.04328844198650582
26,3,9,10000,1.4,0.043600119821167266
26,4,9,10000,1.4,0.04359222632260133
26,5,9,10000,1.4,0.043605753395234
26,6,9,10000,1.4,0.04361191973785243
26,7,9,10000,1.4,0.04361097622069197
26,8,9,10000,1.4,0.04360186900784715
26,9,9,10000,1.4,0.04361448605142005
26,10,9,10000,1.4,0.043620022022326024
26,11,9,10000,1.4,0.04482753120738422
26,12,9,10000,1.4,0.15426671685611912
26,13,9,10000,1.4,0.3356476679698967
26,14,9,10000,1.4,0.658532354512363
26,15,9,10000,1.4,0.658532354512363
27,0,9,10000,1.4,0.03813198765306834
27,1,9,10000,1.4,0.03642639663316399
27,2,9,10000,1.4,0.037895450571988384
27,3,9,10000,1.4,0.03812772169320582
27,4,9,10000,1.4,0.03814796871112563
27,5,9,10000,1.4,0.038144487565226995
27,6,9,10000,1.4,0.03813669573480984
27,7,9,10000,1.4,0.03814350203194532
27,8,9,10000,1.4,0.038149877980617676
27,9,9,10000,1.4,0.03814859882792303
27,10,9,10000,1.4,0.038141452481988906
27,11,9,10000,1.4,0.04564430356840644
27,12,9,10000,1.4,0.14992455770238663
27,13,9,10000,1.4,0.34094808669228577
27,14,9,10000,1.4,0.6627445678145717
27,15,9,10000,1.4,0.6627445678145717
28,0,9,10000,1.4,0.04200654111049934
28,1,9,10000,1.4,0.0388140612671242
28,2,9,10000,1.4,0.041626881801201415
28,3,9,10000,1.4,0.04199383268606116
28,4,9,10000,1.4,0.0419976767690195
28,5,9,10000,1.4,0.04199768520498187
28,6,9,10000,1.4,0.04199723366068077
28,7,9,10000,1.4,0.04199804389930625
28,8,9,10000,1.4,0.04199746169496226
28,9,9,10000,1.4,0.0419973382706015
28,10,9,10000,1.4,0.04199797120092748
28,11,9,10000,1.4,0.04032080763440402
28,12,9,10000,1.4,0.14694962388115074
28,13,9,10000,1.4,0.3276094849067776
28,14,9,10000,1.4,0.6528395321794365
28,15,9,10000,1.4,0.6528395321794365
29,0,9,10000,1.4,0.04026186998766878
29,1,9,10000,1.4,0.03752581564856757
29,2,9,10000,1.4,0.0399340442733048
29,3,9,10000,1.4,0.040245311868328124
29,4,9,10000,1.4,0.04024813622747255
29,5,9,10000,1.4,0.04024752750609343
29,6,9,10000,1.4,0.04024834434659345
29,7,9,10000,1.4,0.04024849534516103
29,8,9,10000,1.4,0.04024172290765467
29,9,9,10000,1.4,0.04024829763039919
29,10,9,10000,1.4,0.04024864357868728
29,11,9,10000,1.4,0.0415297234157782
29,12,9,10000,1.4,0.15998929972880985
29,13,9,10000,1.4,0.32734031635221295
29,14,9,10000,1.4,0.6528395321794365
29,15,9,10000,1.4,0.6528395321794365
30,0,9,10000,1.4,0.04330345078471441
30,1,9,10000,1.4,0.03947346812359114
30,2,9,10000,1.4,0.042819330523511084
30,3,9,10000,1.4,0.0433080326759689
30,4,9,10000,1.4,0.043294006417706504
30,5,9,10000,1.4,0.043286793399053156
30,6,9,10000,1.4,0.043302999910549055
30,7,9,10000,1.4,0.04327864746251358
30,8,9,10000,1.4,0.0432973257486439
30,9,9,10000,1.4,0.043278628643801505
30,10,9,10000,1.4,0.043282003226274936
30,11,9,10000,1.4,0.04141849887334311
30,12,9,10000,1.4,0.154809026460276
30,13,9,10000,1.4,0.3632201917378165
30,14,9,10000,1.4,0.6759921848504891
30,15,9,10000,1.4,0.6759921848504891
31,0,9,10000,1.6,0.0467999070165147
31,1,9,10000,1.6,0.043337277489327024
31,2,9,10000,1.6,0.04645358705248286
31,3,9,10000,1.6,0.04677022619063745
31,4,9,10000,1.6,0.046802174384514526
31,5,9,10000,1.6,0.04680713410407776
31,6,9,10000,1.6,0.04678915149397034
31,7,9,10000,1.6,0.0467883838401548
31,8,9,10000,1.6,0.0467844460924232
31,9,9,10000,1.6,0.04680037057893325
31,10,9,10000,1.6,0.04679246406978221
31,11,9,10000,1.6,0.04264260258975308
31,12,9,10000,1.6,0.13058112326284904
31,13,9,10000,1.6,0.33316050083196747
31,14,9,10000,1.6,0.6228000555464271
31,15,9,10000,1.6,0.6228000555464271
32,0,9,10000,1.6,0.04655352729694706
32,1,9,10000,1.6,0.04313290345942895
32,2,9,10000,1.6,0.04616345371980236
32,3,9,10000,1.6,0.046555114926265774
32,4,9,10000,1.6,0.046553248963815665
32,5,9,10000,1.6,0.04653738692290041
32,6,9,10000,1.6,0.04654371704541194
32,7,9,10000,1.6,0.046546467349938565
32,8,9,10000,1.6,0.04653633527114432
32,9,9,10000,1.6,0.04654589239556438
32,10,9,10000,1.6,0.046537959660030825
32,11,9,10000,1.6,0.04518159749818911
32,12,9,10000,1.6,0.14278864511023917
32,13,9,10000,1.6,0.33373600860241676
32,14,9,10000,1.6,0.6284938937129324
32,15,9,10000,1.6,0.6284938937129324
33,0,9,10000,1.6,0.04905844147813391
33,1,9,10000,1.6,0.04445059930274159
33,2,9,10000,1.6,0.04842415735729331
33,3,9,10000,1.6,0.04898819560709014
33,4,9,10000,1.6,0.04907321627922521
33,5,9,10000,1.6,0.04907191346832466
33,6,9,10000,1.6,0.04902717875746695
33,7,9,10000,1.6,0.049046017504716675
33,8,9,10000,1.6,0.04904615712864673
33,9,9,10000,1.6,0.04909034452831191
33,10,9,10000,1.6,0.04907554341393009
33,11,9,10000,1.6,0.04992579484633895
33,12,9,10000,1.6,0.15053853720357355
33,13,9,10000,1.6,0.3718779823025501
33,14,9,10000,1.6,0.6665997587622287
33,15,9,10000,1.6,0.6665997587622287
34,0,9,10000,1.6,0.05008573429751243
34,1,9,10000,1.6,0.04448351138750358
34,2,9,10000,1.6,0.049228343454309265
34,3,9,10000,1.6,0.049980140422743034
34,4,9,10000,1.6,0.05008672750077805
34,5,9,10000,1.6,0.05007142889514653
34,6,9,10000,1.6,0.05008153958568493
34,7,9,10000,1.6,0.05008234284011198
34,8,9,10000,1.6,0.05008545245638974
34,9,9,10000,1.6,0.050081575568808955
34,10,9,10000,1.6,0.050111516971216574
34,11,9,10000,1.6,0.049502743673413216
34,12,9,10000,1.6,0.1434726268251363
34,13,9,10000,1.6,0.3773400968265157
34,14,9,10000,1.6,0.6594272925783079
34,15,9,10000,1.6,0.6594272925783079
35,0,9,10000,1.6,0.046970934893625464
35,1,9,10000,1.6,0.0439055561639859
35,2,9,10000,1.6,0.04664440171977798
35,3,9,10000,1.6,0.04697016357065509
35,4,9,10000,1.6,0.046966892150652424
35,5,9,10000,1.6,0.046979453654696905
35,6,9,10000,1.6,0.04696919350404168
35,7,9,10000,1.6,0.04696989837258426
35,8,9,10000,1.6,0.04697573373600465
35,9,9,10000,1.6,0.04696821516893026
35,10,9,10000,1.6,0.046964653893386235
35,11,9,10000,1.6,0.04080786735857466
35,12,9,10000,1.6,0.13322112523043145
35,13,9,10000,1.6,0.32928795584740317
35,14,9,10000,1.6,0.6228000555464271
35,15,9,10000,1.6,0.6228000555464271
36,0,9,10000,1.6,0.045864548811477585
36,1,9,10000,1.6,0.043300641861481665
36,2,9,10000,1.6,0.045581453244651106
36,3,9,10000,1.6,0.04586032760750024
36,4,9,10000,1.6,0.04588227679287329
36,5,9,10000,1.6,0.045868471609782656
36,6,9,10000,1.6,0.0458826453653195
36,7,9,10000,1.6,0.04587366650394911
36,8,9,10000,1.6,0.04587466975386062
36,9,9,10000,1.6,0.04587732100681813
36,10,9,10000,1.6,0.04587680594394571
36,11,9,10000,1.6,0.04427331815642241
36,12,9,10000,1.6,0.13947593735311656
36,13,9,10000,1.6,0.3299808594217213
36,14,9,10000,1.6,0.6228000555464271
36,15,9,10000,1.6,0.6228000555464271
37,0,9,10000,1.6,0.04489368599878563
37,1,9,10000,1.6,0.04223554181304803
37,2,9,10000,1.6,0.044542286433484984
37,3,9,10000,1.6,0.04488282684899108
37,4,9,10000,1.6,0.044888797551389296
37,5,9,10000,1.6,0.04488807308425997
37,6,9,10000,1.6,0.04488844294062696
37,7,9,10000,1.6,0.04488312599509131
37,8,9,10000,1.6,0.04488846896318077
37,9,9,10000,1.6,0.044888171253613295
37,10,9,10000,1.6,0.04488881931534313
37,11,9,10000,1.6,0.04363435920686641
37,12,9,10000,1.6,0.1392920779099279
37,13,9,10000,1.6,0.327518120872447
37,14,9,10000,1.6,0.6228000555464271
37,15,9,10000,1.6,0.6228000555464271
38,0,9,10000,1.6,0.04344184747018317
38,1,9,10000,1.6,0.03990860550267285
38,2,9,10000,1.6,0.043047947310816556
38,3,9,10000,1.6,0.04344552478186766
38,4,9,10000,1.6,0.04343197924674183
38,5,9,10000,1.6,0.04342113355345421
38,6,9,10000,1.6,0.04343824206157717
38,7,9,10000,1.6,0.04340031397298463
38,8,9,10000,1.6,0.0434243963610446
38,9,9,10000,1.6,0.04342676139541752
38,10,9,10000,1.6,0.04342576754912757
38,11,9,10000,1.6,0.04155582895000505
38,12,9,10000,1.6,0.1338014427840296
38,13,9,10000,1.6,0.33250577532923997
38,14,9,10000,1.6,0.6228000555464271
38,15,9,10000,1.6,0.6228000555464271
39,0,9,10000,1.6,0.04075100359075251
39,1,9,10000,1.6,0.03772965695882377
39,2,9,10000,1.6,0.040412629866927195
39,3,9,10000,1.6,0.040740981549509024
39,4,9,10000,1.6,0.04074299358321158
39,5,9,10000,1.6,0.04073101661660884
39,6,9,10000,1.6,0.04072809073798845
39,7,9,10000,1.6,0.040707261348467104
39,8,9,10000,1.6,0.04073568578199319
39,9,9,10000,1.6,0.040748788564925476
39,10,9,10000,1.6,0.040736243753846914
39,11,9,10000,1.6,0.039283854633849424
39,12,9,10000,1.6,0.13295209885338838
39,13,9,10000,1.6,0.32875167237611885
39,14,9,10000,1.6,0.6228000555464271
39,15,9,10000,1.6,0.6228000555464271
40,0,9,10000,1.6,0.03850525337968034
40,1,9,10000,1.6,0.03571754740280045
40,2,9,10000,1.6,0.03819033866582885
40,3,9,10000,1.6,0.038501607114351154
40,4,9,10000,1.6,0.038507625061304576
40,5,9,10000,1.6,0.03850610459385886
40,6,9,10000,1.6,0.038497186078603925
40,7,9,10000,1.6,0.03850526262437949
40,8,9,10000,1.6,0.0385039344921786
40,9,9,10000,1.6,0.038506085599710756
40,10,9,10000,1.6,0.03850586720098696
