f_n,d,N,pi_s,max_d,emp_d
1072,15,60000,1.4,0.044720582040099,0.12027385797554123
1073,15,60000,1.4,0.07738233735147208,0.10232542239029144
1074,15,60000,1.4,0.05979336130759352,0.12594897281283757
1075,15,60000,1.4,0.08650184391801934,0.07775581375639999
1076,15,60000,1.4,0.0437197130848797,0.11516766766504624
1077,15,60000,1.4,0.05892914111807351,0.136196361931061
1078,15,60000,1.4,0.05607140972440612,0.11978555106865657
1079,15,60000,1.4,0.06548760586225215,0.10320749576336852
1080,15,60000,1.4,0.060452613731361814,0.10855126334618918
1081,15,60000,1.6,0.06578321246442663,0.15656299793344655
1082,15,60000,1.6,0.06658074464619994,0.12327451181886373
1083,15,60000,1.6,0.06443962699881627,0.15840792336305565
1084,15,60000,1.6,0.05920512401537566,0.09861842073248958
1085,15,60000,1.6,0.0657499043363829,0.15672275835273466
1086,15,60000,1.6,0.0576136617808271,0.11448498342891446
1087,15,60000,1.6,0.06193758040471581,0.12699190204392652
1088,15,60000,1.6,0.05744310632041497,0.14811442349742904
1089,15,60000,1.6,0.06047395668857315,0.13752372586067424
1090,15,60000,1.6,0.06210916138654389,0.14772440749205457
1091,15,60000,1.8,0.06947822951582416,0.17598948823087135
1092,15,60000,1.8,0.053763025734946714,0.17210285748949958
1093,15,60000,1.8,0.05898810144801439,0.16827295822837113
1094,15,60000,1.8,0.05974956424146778,0.170127171772036
1095,15,60000,1.8,0.06743602760706395,0.13173758938451013
1096,15,60000,1.8,0.04784037911652666,0.16834675659775566
1097,15,60000,1.8,0.05781872241715488,0.15944027868108743
1098,15,60000,1.8,0.05891154641948678,0.17120875432392715
1099,15,60000,1.8,0.08545790828900798,0.09771056366318799
1100,15,60000,1.8,0.05718233550944111,0.173449596821015
1101,16,10000,1.0,0.055909452345061485,0.1480751564729533
1102,16,10000,1.0,0.05665738573470233,0.14102678808625838
1103,16,10000,1.0,0.05642161416023368,0.1465557725801117
1104,16,10000,1.0,0.05608653336935969,0.13444692344869183
1105,16,10000,1.0,0.05509521106126923,0.14694041120419796
1106,16,10000,1.0,0.057796413337208905,0.1459766629749394
1107,16,10000,1.0,0.056796994822777135,0.14431178583105223
1108,16,10000,1.0,0.05557284613611067,0.13990973934079612
1109,16,10000,1.0,0.05719327485171504,0.146424757574861
1110,16,10000,1.0,0.0576790532918282,0.14493718139403824
1111,16,10000,1.2,0.06477323168274639,0.17423667104616472
1112,16,10000,1.2,0.05612183133265953,0.16033167970838288
1113,16,10000,1.2,0.06170646923081378,0.17481339166439155
1114,16,10000,1.2,0.06973964537246753,0.1416322042897465
1115,16,10000,1.2,0.07232636240589914,0.14944038720571606
1116,16,10000,1.2,0.06431655724253633,0.16501922176837205
1117,16,10000,1.2,0.06141843579563439,0.16528185985258723
1118,16,10000,1.2,0.06068036577923634,0.17321099211408714
1119,16,10000,1.2,0.06510911042750102,0.17771041126746068
1120,16,10000,1.2,0.0673462550323582,0.17704214076454164
1121,16,10000,1.4,0.06784409058399324,0.18720609310809683
1122,16,10000,1.4,0.06499053517785555,0.19670245953794416
1123,16,10000,1.4,0.06900501309523073,0.1870659231445831
1124,16,10000,1.4,0.07093286714707031,0.21139215565453773
1125,16,10000,1.4,0.06979216820328193,0.17913036370783184
1126,16,10000,1.4,0.08273695684045078,0.19043350757209962
1127,16,10000,1.4,0.07087884682511615,0.19338760123557114
1128,16,10000,1.4,0.09762548814999032,0.18742221617522928
1129,16,10000,1.4,0.07279543675120868,0.20967119976625537
1130,16,10000,1.4,0.06897276651732451,0.1928888001262627
1131,16,10000,1.6,0.08929680218568849,0.20794148163453324
1132,16,10000,1.6,0.079967626582667,0.23561414863997188
1133,16,10000,1.6,0.07565877540009895,0.23453681050253974
1134,16,10000,1.6,0.10586925031533642,0.17889560805669041
1135,16,10000,1.6,0.07610337786213293,0.23923797943827327
1136,16,10000,1.6,0.08329080115118719,0.20330563327938567
1137,16,10000,1.6,0.11243881631530313,0.18314968453416425
1138,16,10000,1.6,0.06684750623642668,0.2399907708827639
1139,16,10000,1.6,0.08823352465517349,0.20039445680519558
1140,16,10000,1.6,0.1059522032706031,0.17688588030440672
1141,16,10000,1.8,0.07588186562088237,0.2546220609737332
1142,16,10000,1.8,0.18684789840837254,0.21437734782651965
1143,16,10000,1.8,0.07142682343165592,0.2516946968350714
